state,collection_date,Inpatient Beds Occupied Estimated (All Inpatient),Count LL (All Inpatient),Count UL (All Inpatient),Percentage of Inpatient Beds Occupied Estimated (All Inpatient),Percentage LL (All Inpatient),Percentage UL (All Inpatient),Total Inpatient Beds (All Inpatient),Total LL (All Inpatient),Total UL (All Inpatient),Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Count LL (COVID-19 Inpatient),Count UL (COVID-19 Inpatient),Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Percentage LL (COVID-19 Inpatient),Percentage UL (COVID-19 Inpatient),Total Inpatient Beds (COVID-19 Inpatient),Total LL (COVID-19 Inpatient),Total UL (COVID-19 Inpatient),Staffed Adult ICU Beds Occupied Estimated (ICU),Count LL (ICU),Count UL (ICU),Percentage of Staffed Adult ICU Beds Occupied Estimated (ICU),Percentage LL (ICU),Percentage UL (ICU),Total Staffed Adult ICU Beds (ICU),Total LL (ICU),Total UL (ICU),geocoded_state
CW,2020/11/12,"531,425","529,873","532,977",74.34,73.94,74.74,"714,970","714,206","715,734","74,350","74,272","74,428",10.45,10.36,10.54,"714,970","714,206","715,734","64,366","64,308","64,424",74.81,74.6,75.01,"86,044","85,963","86,125",
CW,2020/11/13,"527,591","526,464","528,717",73.67,73.48,73.85,"716,309","715,639","716,979","75,136","75,052","75,221",10.54,10.46,10.63,"716,309","715,639","716,979","63,951","63,886","64,016",74.53,74.31,74.74,"85,810","85,734","85,887",
CW,2020/11/14,"508,135","506,987","509,283",71.11,70.91,71.31,"714,713","714,044","715,381","76,055","75,980","76,129",10.69,10.62,10.77,"714,713","714,044","715,381","63,024","62,952","63,096",73.6,73.33,73.88,"85,626","85,522","85,730",
CW,2020/11/15,"493,605","492,485","494,726",69.43,69.22,69.64,"711,017","710,251","711,782","78,164","78,079","78,249",11.05,10.96,11.14,"711,017","710,251","711,782","61,753","61,688","61,818",72.39,72.11,72.68,"85,304","85,184","85,424",
CW,2020/11/16,"500,039","498,952","501,125",70.06,69.92,70.2,"713,818","713,251","714,384","82,295","82,247","82,344",11.59,11.53,11.64,"713,818","713,251","714,384","61,820","61,763","61,877",72.34,72.11,72.57,"85,458","85,365","85,551",
CW,2020/11/17,"522,707","521,654","523,760",72.9,72.74,73.05,"717,184","716,664","717,704","84,801","84,754","84,848",11.88,11.82,11.94,"717,184","716,664","717,704","64,629","64,542","64,716",75.02,74.7,75.34,"86,150","86,041","86,259",
CW,2020/11/18,"532,035","530,960","533,109",73.95,73.78,74.12,"719,565","719,046","720,084","86,209","86,170","86,248",12.04,11.98,12.09,"719,565","719,046","720,084","65,606","65,549","65,664",75.91,75.67,76.15,"86,422","86,330","86,513",
CW,2020/11/19,"529,458","528,354","530,563",73.68,73.47,73.89,"718,717","718,078","719,355","86,998","86,898","87,098",12.16,12.06,12.26,"718,717","718,078","719,355","65,373","65,337","65,409",75.77,75.57,75.98,"86,275","86,186","86,364",
CW,2020/11/20,"524,628","523,553","525,703",73.6,73.42,73.78,"712,957","712,398","713,515","88,059","87,989","88,129",12.41,12.34,12.49,"712,957","712,398","713,515","65,167","65,112","65,222",76,75.8,76.2,"85,628","85,532","85,723",
CW,2020/11/21,"508,377","507,314","509,439",71.58,71.39,71.78,"710,502","709,896","711,108","88,381","88,297","88,465",12.5,12.41,12.59,"710,502","709,896","711,108","64,561","64,519","64,602",75.12,74.97,75.26,"85,835","85,753","85,918",
